service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,service_name,case_record_type,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description,iamfloc,floc
3295471,3295443,,2021-03-27T16:31:00,0,Other,TSW,2021-03-27T00:00:00,Referred,32.70837833,-117.1522305,,,3,4,Downtown,,Mobile,This report has been referred to AT&T Fix It at attfixit@amcustomercare.att-mail.com,Damaged vault cover,SS-014817,SS-014817
3295472,,,2021-03-27T16:32:00,12,Graffiti Removal,TSW,,In Process,32.70838667,-117.1523222,,,3,4,Downtown,,Mobile,,,SS-014817,SS-014817
3295473,3244826,,2021-03-27T16:32:00,12,Sidewalk Repair Issue,TSW,,In Process,32.7091318,-117.1597926,,,3,4,Downtown,,Web,,The red brick on 5th avenue Sidwalk in front of 363 5th Avenue Ste 102 (Ãgora Galleries) is raised and missing pieces causing big hole in sidewalk.,SS-014370-SO1,SS-014370
3295474,,,2021-03-27T16:32:00,12,Graffiti Removal,TSW,,In Process,32.708405,-117.1524667,,,3,4,Downtown,,Mobile,,,SS-014817,SS-014817
3295475,,,2021-03-27T16:32:00,12,Graffiti Removal,TSW,,In Process,32.70834667,-117.1524888,,,3,4,Downtown,,Mobile,,,SS-014817,SS-014817
3295476,,,2021-03-27T16:33:00,10,Graffiti Removal,TSW,2021-04-06T00:00:00,Referred,32.708345,-117.15255,,,3,4,Downtown,,Mobile,This report has been referred to Field Engineering at engineering@sandiego.gov,,SS-014817,SS-014817
3295477,,,2021-03-27T16:33:00,2,Graffiti Removal - Code Enforcement,TSW,2021-03-29T00:00:00,Referred,32.70831667,-117.1527472,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,,SS-014817,SS-014817
3295478,,40300397048,2021-03-27T16:33:00,2,Pothole,TSW,2021-03-29T00:00:00,Closed,32.7489824,-117.1697489,,,3,42,Uptown,,Mobile,,This asphalt patch job is unacceptable. I almost crashed my bike riding over it. This has got to get smoothed out. It's a dangerous combo of holes and bumps at the moment.,SS-030047-PV1,SS-030047-PV1
3295479,,,2021-03-27T16:33:00,3,Graffiti Removal - Code Enforcement,TSW,2021-03-30T00:00:00,Referred,32.70829667,-117.1527862,,,3,4,Downtown,,Mobile,This report has been referred to appropriate department or agency at migliaccio@civicsd.com,,SS-014817,SS-014817
3295480,,,2021-03-27T16:34:00,12,Graffiti Removal,TSW,,In Process,32.70827833,-117.1528167,,,3,4,Downtown,,Mobile,,Tailgate Padres Parking Lot,SS-014812,SS-014812
3295481,,,2021-03-27T16:34:00,0,Graffiti Removal,TSW,2021-03-27T00:00:00,Closed,32.70829667,-117.1529222,,,3,4,Downtown,,Mobile,,,SS-014812,SS-014812
3295482,,,2021-03-27T16:34:00,2,Graffiti Removal - Code Enforcement,TSW,2021-03-29T00:00:00,Referred,32.70833667,-117.1529778,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,,SS-014812,SS-014812
3295483,,,2021-03-27T16:35:00,12,Graffiti Removal,TSW,,In Process,32.70833333,-117.1529695,,,3,4,Downtown,,Mobile,,,SS-014812,SS-014812
3295484,3295482,,2021-03-27T16:35:00,2,Graffiti Removal,TSW,2021-03-29T00:00:00,Referred,32.70831667,-117.153,,,3,4,Downtown,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,,SS-014812,SS-014812
3295485,,,2021-03-27T16:36:00,12,Graffiti Removal,TSW,,In Process,32.708325,-117.153075,,,3,4,Downtown,,Mobile,,,SS-014812,SS-014812
3295486,,,2021-03-27T16:36:00,12,Graffiti Removal,TSW,,In Process,32.70837833,-117.1531305,,,3,4,Downtown,,Mobile,,,SS-014812,SS-014812
3295487,,,2021-03-27T16:36:00,12,Missed Collection,ESD Complaint/Report,,In Process,32.8120866,-117.010788,"8655 Dent Dr, San Diego, CA 92119, USA",,7,20,Navajo,,Web,,Our side of the street's recycling was not picked up on Friday or Saturday.,,
